accession	file_path	notes
GCF_000802205.1	data/genomes/phase5_0/GCF_000802205.1.fna	Phase 5.0 main: Candidatus Nitrosocosmicus oleophilus MY3 [nitrogen_metabolism]. biomass=Archaea
GCF_000967425.1	data/genomes/phase5_0/GCF_000967425.1.fna	Phase 5.0 main: Pseudorhizobium banfieldiae NT-26 [heavy_metal_respiration]. biomass=Gram_neg
GCF_000968135.1	data/genomes/phase5_0/GCF_000968135.1.fna	Phase 5.0 main: Magnetospira sp. QH-2 [magnetotaxis]. biomass=Gram_neg
GCF_000968535.1	data/genomes/phase5_0/GCF_000968535.1.fna	Phase 5.0 main: Methylotuvimicrobium alcaliphilum 20Z [methane_metabolism]. biomass=Gram_neg
GCF_000970065.1	data/genomes/phase5_0/GCF_000970065.1.fna	Phase 5.0 main: Methanosarcina barkeri 227 [methane_metabolism]. biomass=Archaea
GCF_001266715.1	data/genomes/phase5_0/GCF_001266715.1.fna	Phase 5.0 main: Metallosphaera sedula ARS120-2 [carbon_fixation]. biomass=Archaea
GCF_001267405.1	data/genomes/phase5_0/GCF_001267405.1.fna	Phase 5.0 main: Neomoorella thermoacetica DSM 521 [carbon_fixation]. biomass=Gram_neg
GCF_001456255.1	data/genomes/phase5_0/GCF_001456255.1.fna	Phase 5.0 main: Vibrio natriegens ATCC 14048 [marine_user_interest]. biomass=Gram_neg
GCF_001458695.1	data/genomes/phase5_0/GCF_001458695.1.fna	Phase 5.0 main: Candidatus Nitrospira inopinata [nitrogen_metabolism]. biomass=Gram_neg
GCF_001530125.1	data/genomes/phase5_0/GCF_001530125.1.fna	Phase 5.0 main: Thiobacillus denitrificans RG [sulfur_metabolism]. biomass=Gram_neg
GCF_001679785.1	data/genomes/phase5_0/GCF_001679785.1.fna	Phase 5.0 main: Rhizobium leguminosarum [nitrogen_metabolism]. biomass=Gram_neg
GCF_001747405.1	data/genomes/phase5_0/GCF_001747405.1.fna	Phase 5.0 main: Chlorobaculum limnaeum DSM 1677 [sulfur_metabolism]. biomass=Gram_neg
GCF_001856645.1	data/genomes/phase5_0/GCF_001856645.1.fna	Phase 5.0 main: Clostridium pasteurianum ATCC 6013 [nitrogen_metabolism]. biomass=Gram_neg
GCF_001917195.1	data/genomes/phase5_0/GCF_001917195.1.fna	Phase 5.0 main: Desulfovibrio piger [sulfate_reduction]. biomass=Gram_neg
GCF_001922145.1	data/genomes/phase5_0/GCF_001922145.1.fna	Phase 5.0 main: Paenibacillus polymyxa ATCC 15970 [nitrogen_metabolism]. biomass=Gram_neg
GCF_002356555.2	data/genomes/phase5_0/GCF_002356555.2.fna	Phase 5.0 main: Halorhodospira halochloris DSM 1059 [phototrophy]. biomass=Gram_neg
GCF_002934365.1	data/genomes/phase5_0/GCF_002934365.1.fna	Phase 5.0 main: Methylobacter tundripaludum OWC-G53F [methane_metabolism]. biomass=Gram_neg
GCF_003444165.1	data/genomes/phase5_0/GCF_003444165.1.fna	Phase 5.0 main: Thermodesulfobacterium commune [sulfate_reduction]. biomass=Gram_neg
GCF_004063735.1	data/genomes/phase5_0/GCF_004063735.1.fna	Phase 5.0 main: Paracoccus denitrificans ATCC 19367 [nitrogen_metabolism]. biomass=Gram_neg
GCF_004319545.1	data/genomes/phase5_0/GCF_004319545.1.fna	Phase 5.0 main: Desulfobacter hydrogenophilus AcRS1 [sulfate_reduction]. biomass=Gram_neg
GCF_004369205.1	data/genomes/phase5_0/GCF_004369205.1.fna	Phase 5.0 main: Pelotomaculum schinkii HH [syntrophy]. biomass=Gram_neg
GCF_005843985.1	data/genomes/phase5_0/GCF_005843985.1.fna	Phase 5.0 main: Caminibacter mediatlanticus TB-2 [sulfur_metabolism]. biomass=Gram_neg
GCF_009662475.1	data/genomes/phase5_0/GCF_009662475.1.fna	Phase 5.0 main: Acidithiobacillus thiooxidans ATCC 19377 [sulfur_metabolism]. biomass=Gram_neg
GCF_009729035.1	data/genomes/phase5_0/GCF_009729035.1.fna	Phase 5.0 main: Stygiolobus azoricus DSM 6296 [extreme_archaea]. biomass=Archaea
GCF_012728935.1	data/genomes/phase5_0/GCF_012728935.1.fna	Phase 5.0 main: Syntrophorhabdus aromaticivorans [syntrophy]. biomass=Gram_neg
GCF_018853765.1	data/genomes/phase5_0/GCF_018853765.1.fna	Phase 5.0 main: Acidithiobacillus caldus strain MELC5 [sulfur_metabolism]. biomass=Gram_neg
GCF_027554905.1	data/genomes/phase5_0/GCF_027554905.1.fna	Phase 5.0 main: Methanothermobacter thermautotrophicus Delta H [methane_metabolism]. biomass=Archaea
GCF_030705305.1	data/genomes/phase5_0/GCF_030705305.1.fna	Phase 5.0 main: Leptothrix discophora CCM 2812 [manganese_metabolism]. biomass=Gram_neg
GCF_032051675.1	data/genomes/phase5_0/GCF_032051675.1.fna	Phase 5.0 main: Candidatus Nitrospira neomarina DK [nitrogen_metabolism]. biomass=Gram_neg
GCF_949769195.1	data/genomes/phase5_0/GCF_949769195.1.fna	Phase 5.0 main: Methylocaldum szegediense [methane_metabolism]. biomass=Gram_neg
GCF_965136615.1	data/genomes/phase5_0/GCF_965136615.1.fna	Phase 5.0 main: Shewanella loihica PV-4 [nitrogen_metabolism]. biomass=Gram_neg
GCF_977609705.1	data/genomes/phase5_0/GCF_977609705.1.fna	Phase 5.0 main: Methanofollis liminatans [methane_metabolism]. biomass=Archaea
